iter	Logloss
0	0.6230801213
1	0.5749063098
2	0.5202635237
3	0.4915728049
4	0.4572795397
5	0.4368564311
6	0.4159795689
7	0.3968353675
8	0.385648996
9	0.3713706631
10	0.3608848045
11	0.353141815
12	0.3455835806
13	0.3364153772
14	0.3320355251
15	0.326952244
16	0.3207826263
17	0.3153045003
18	0.3117620286
19	0.3093964765
20	0.3038088257
21	0.2990831439
22	0.2961936944
23	0.2921350035
24	0.2887695343
25	0.2865986151
26	0.2831955611
27	0.2804734632
28	0.2781702207
29	0.2761210819
30	0.2738814246
31	0.2709013722
32	0.2685220882
33	0.2662373174
34	0.264558992
35	0.2624462975
36	0.2601480672
37	0.2567860437
38	0.2550306263
39	0.2525665122
40	0.247955017
41	0.2458554928
42	0.2440492391
43	0.2418993805
44	0.2405996333
45	0.2387400926
46	0.2370349046
47	0.2345212786
48	0.2332921895
49	0.2313875004
50	0.2304778855
51	0.2284641167
52	0.227441965
53	0.2260614267
54	0.2247033401
55	0.2234429004
56	0.2218549969
57	0.221043297
58	0.2196310584
59	0.2187180229
60	0.2180708375
61	0.2168826913
62	0.2151449645
63	0.2141525219
64	0.2135255868
65	0.2124302122
66	0.211553481
67	0.2103443232
68	0.2089778551
69	0.2083407569
70	0.2070862599
71	0.2062794136
72	0.2048647301
73	0.2035465314
74	0.2020661809
75	0.2005069616
76	0.1982890096
77	0.1972989068
78	0.1963113907
79	0.1953783034
80	0.1947666266
81	0.1936871803
82	0.1927069195
83	0.1915640395
84	0.1905922876
85	0.1892710654
86	0.1878204453
87	0.1862760226
88	0.1852423152
89	0.1839181918
90	0.1824222228
91	0.1814213102
92	0.1809896544
93	0.1800021268
94	0.1788274281
95	0.1784547714
96	0.1781397805
97	0.1770544383
98	0.1763378665
99	0.174973561
