iter	Passed	Remaining
0	243	24095
1	328	16115
2	416	13462
3	503	12085
4	585	11123
5	664	10411
6	754	10026
7	848	9759
8	930	9403
9	1013	9123
10	1098	8888
11	1188	8713
12	1302	8718
13	1402	8618
14	1505	8531
15	1594	8371
16	1679	8199
17	1764	8037
18	1853	7901
19	1937	7751
20	2024	7615
21	2110	7483
22	2192	7339
23	2276	7208
24	2361	7084
25	2443	6955
26	2525	6828
27	2614	6721
28	2696	6601
29	2782	6493
30	2872	6393
31	2955	6279
32	3037	6167
33	3118	6054
34	3201	5946
35	3282	5835
36	3365	5729
37	3447	5624
38	3530	5521
39	3610	5415
40	3694	5316
41	3775	5213
42	3862	5120
43	3943	5018
44	4022	4916
45	4105	4819
46	4190	4725
47	4272	4628
48	4353	4531
49	4433	4433
50	4514	4337
51	4595	4241
52	4676	4147
53	4758	4053
54	4846	3965
55	4927	3871
56	5010	3779
57	5087	3684
58	5177	3597
59	5262	3508
60	5352	3422
61	5449	3339
62	5542	3255
63	5634	3169
64	5721	3080
65	5811	2993
66	5906	2908
67	5994	2820
68	6087	2734
69	6172	2645
70	6260	2556
71	6346	2468
72	6426	2377
73	6505	2285
74	6585	2195
75	6665	2104
76	6747	2015
77	6833	1927
78	6913	1837
79	6994	1748
80	7075	1659
81	7157	1571
82	7235	1481
83	7314	1393
84	7396	1305
85	7478	1217
86	7560	1129
87	7644	1042
88	7723	954
89	7806	867
90	7890	780
91	7971	693
92	8052	606
93	8134	519
94	8226	432
95	8310	346
96	8389	259
97	8469	172
98	8548	86
99	8628	0
